Account,date,sentiment_bucket,classification,daily_pnl,n_trades,n_wins,avg_trade_size_usd,total_volume_usd,n_long,win_rate,n_short,long_short_ratio,is_profitable_day
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-19,Greed,Extreme Greed,1573.210981,30,15,10658.076000000001,319742.28,8,0.5,22,0.36363636363636365,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-20,Greed,Extreme Greed,2259.775633,33,16,25402.638787878786,838287.08,13,0.48484848484848486,20,0.65,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-21,Greed,Extreme Greed,909.745283,9,4,17786.91,160082.19,7,0.4444444444444444,2,3.5,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-22,Greed,Extreme Greed,1825.01255,18,12,16769.490555555556,301850.83,18,0.6666666666666666,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-23,Greed,Extreme Greed,0.0,9,0,6667.414444444444,60006.729999999996,9,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-24,Greed,Extreme Greed,445.338356,33,5,15770.984848484848,520442.5,33,0.15151515151515152,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-25,Greed,Extreme Greed,5059.459732,30,10,28814.273999999998,864428.22,30,0.3333333333333333,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-26,Greed,Extreme Greed,0.0,22,0,19319.39181818182,425026.62,22,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-27,Greed,Extreme Greed,-2848.159792,44,0,28557.08818181818,1256511.88,40,0.0,4,10.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-28,Greed,Extreme Greed,1174.315571,12,6,28232.108333333334,338785.3,3,0.5,9,0.3333333333333333,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-29,Greed,Extreme Greed,610.52512,7,1,25798.085714285717,180586.6,1,0.14285714285714285,6,0.16666666666666666,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-30,Greed,Extreme Greed,850.54514,12,5,19926.774999999998,239121.3,7,0.4166666666666667,5,1.4,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-12-01,Greed,Extreme Greed,337.835516,27,16,22229.845925925925,600205.84,15,0.5925925925925926,12,1.25,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-12-02,Greed,Extreme Greed,754.7378,17,6,17691.249411764704,300751.24,17,0.35294117647058826,0,,True
